Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E0,2009-08-15,Chelsea,Hull,2.0,1.0,H,1.0,1.0,D,A Wiley,26.0,7.0,12.0,3.0,13.0,15.0,12.0,4.0,1.0,2.0,0.0,0.0
E0,2009-08-29,Chelsea,Burnley,3.0,0.0,H,1.0,0.0,H,M Clattenburg,27.0,3.0,17.0,0.0,7.0,5.0,10.0,1.0,0.0,1.0,0.0,0.0
E0,2009-09-20,Chelsea,Tottenham,3.0,0.0,H,1.0,0.0,H,H Webb,25.0,9.0,15.0,4.0,7.0,9.0,11.0,3.0,0.0,2.0,0.0,0.0
E0,2009-10-04,Chelsea,Liverpool,2.0,0.0,H,0.0,0.0,D,M Atkinson,12.0,12.0,8.0,3.0,14.0,17.0,5.0,8.0,1.0,1.0,0.0,0.0
E0,2009-10-24,Chelsea,Blackburn,5.0,0.0,H,1.0,0.0,H,A Wiley,26.0,5.0,15.0,2.0,8.0,10.0,8.0,0.0,0.0,1.0,0.0,0.0
E0,2009-11-08,Chelsea,Man United,1.0,0.0,H,0.0,0.0,D,Mn Atkinson,12.0,21.0,9.0,10.0,13.0,15.0,0.0,7.0,3.0,3.0,0.0,0.0
E0,2009-11-21,Chelsea,Wolves,4.0,0.0,H,3.0,0.0,H,L Mason,23.0,4.0,14.0,3.0,4.0,14.0,5.0,6.0,0.0,2.0,0.0,0.0
E0,2009-12-12,Chelsea,Everton,3.0,3.0,D,2.0,2.0,D,P Dowd,25.0,10.0,13.0,7.0,13.0,17.0,7.0,1.0,0.0,1.0,0.0,0.0
E0,2009-12-16,Chelsea,Portsmouth,2.0,1.0,H,1.0,0.0,H,M Clattenburg,21.0,7.0,8.0,3.0,11.0,11.0,11.0,2.0,0.0,0.0,0.0,0.0
E0,2009-12-28,Chelsea,Fulham,2.0,1.0,H,0.0,1.0,A,A Marriner,18.0,3.0,11.0,3.0,9.0,13.0,10.0,6.0,1.0,1.0,0.0,0.0
E0,2010-01-16,Chelsea,Sunderland,7.0,2.0,H,4.0,0.0,H,C Foy,23.0,7.0,13.0,3.0,4.0,10.0,15.0,1.0,0.0,1.0,0.0,0.0
E0,2010-01-27,Chelsea,Birmingham,3.0,0.0,H,2.0,0.0,H,S Bennett,25.0,5.0,17.0,3.0,11.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0
E0,2010-02-07,Chelsea,Arsenal,2.0,0.0,H,2.0,0.0,H,M Dean,9.0,14.0,3.0,6.0,11.0,14.0,4.0,8.0,2.0,2.0,0.0,0.0
E0,2010-02-27,Chelsea,Man City,2.0,4.0,A,1.0,1.0,D,M Dean,23.0,8.0,13.0,6.0,21.0,12.0,3.0,2.0,3.0,1.0,2.0,0.0
E0,2010-03-13,Chelsea,West Ham,4.0,1.0,H,1.0,1.0,D,M Clattenburg,22.0,4.0,15.0,2.0,13.0,10.0,11.0,1.0,0.0,1.0,0.0,0.0
E0,2010-03-27,Chelsea,Aston Villa,7.0,1.0,H,2.0,1.0,H,P Walton,13.0,7.0,11.0,5.0,12.0,5.0,8.0,6.0,3.0,2.0,0.0,0.0
E0,2010-04-13,Chelsea,Bolton,1.0,0.0,H,1.0,0.0,H,L Probert,18.0,7.0,8.0,2.0,13.0,22.0,5.0,2.0,1.0,4.0,0.0,0.0
E0,2010-04-25,Chelsea,Stoke,7.0,0.0,H,3.0,0.0,H,S Bennett,29.0,3.0,18.0,2.0,14.0,12.0,7.0,0.0,0.0,3.0,0.0,0.0
E0,2010-05-09,Chelsea,Wigan,8.0,0.0,H,2.0,0.0,H,M Atkinson,17.0,4.0,10.0,3.0,14.0,9.0,2.0,3.0,2.0,2.0,0.0,1.0
