Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E0,2009-08-16,Man United,Birmingham,1.0,0.0,H,1.0,0.0,H,L Mason,26.0,6.0,17.0,4.0,13.0,7.0,13.0,2.0,1.0,1.0,0.0,0.0
E0,2009-08-29,Man United,Arsenal,2.0,1.0,H,0.0,1.0,A,M Dean,10.0,9.0,4.0,3.0,21.0,15.0,6.0,5.0,3.0,6.0,0.0,0.0
E0,2009-09-20,Man United,Man City,4.0,3.0,H,1.0,1.0,D,M Atkinson,21.0,10.0,11.0,6.0,15.0,14.0,11.0,1.0,2.0,2.0,0.0,0.0
E0,2009-10-03,Man United,Sunderland,2.0,2.0,D,0.0,1.0,A,A Wiley,17.0,4.0,9.0,3.0,11.0,15.0,14.0,1.0,2.0,3.0,0.0,1.0
E0,2009-10-17,Man United,Bolton,2.0,1.0,H,2.0,0.0,H,M Clattenburg,13.0,15.0,7.0,7.0,15.0,8.0,13.0,1.0,0.0,1.0,0.0,0.0
E0,2009-10-31,Man United,Blackburn,2.0,0.0,H,0.0,0.0,D,P Dowd,20.0,2.0,11.0,1.0,10.0,21.0,7.0,2.0,0.0,2.0,0.0,0.0
E0,2009-11-21,Man United,Everton,3.0,0.0,H,1.0,0.0,H,S Bennett,18.0,11.0,11.0,5.0,4.0,6.0,13.0,4.0,2.0,2.0,0.0,0.0
E0,2009-12-12,Man United,Aston Villa,0.0,1.0,A,0.0,1.0,A,M Atkinson,16.0,8.0,9.0,5.0,4.0,14.0,9.0,4.0,1.0,1.0,0.0,0.0
E0,2009-12-15,Man United,Wolves,3.0,0.0,H,2.0,0.0,H,S Bennett,12.0,4.0,9.0,1.0,11.0,11.0,8.0,3.0,1.0,1.0,0.0,0.0
E0,2009-12-30,Man United,Wigan,5.0,0.0,H,3.0,0.0,H,L Mason,23.0,11.0,16.0,6.0,6.0,11.0,7.0,3.0,0.0,1.0,0.0,0.0
E0,2010-01-16,Man United,Burnley,3.0,0.0,H,0.0,0.0,D,L Probert,24.0,11.0,11.0,5.0,12.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0
E0,2010-01-23,Man United,Hull,4.0,0.0,H,1.0,0.0,H,S Bennett,25.0,8.0,15.0,4.0,6.0,10.0,12.0,8.0,1.0,1.0,0.0,0.0
E0,2010-02-06,Man United,Portsmouth,5.0,0.0,H,2.0,0.0,H,L Mason,21.0,7.0,8.0,5.0,9.0,11.0,12.0,1.0,1.0,4.0,0.0,0.0
E0,2010-02-23,Man United,West Ham,3.0,0.0,H,1.0,0.0,H,A Wiley,12.0,10.0,9.0,4.0,10.0,12.0,6.0,7.0,0.0,1.0,0.0,0.0
E0,2010-03-14,Man United,Fulham,3.0,0.0,H,0.0,0.0,D,M Jones,33.0,8.0,19.0,5.0,7.0,11.0,11.0,1.0,1.0,1.0,0.0,0.0
E0,2010-03-21,Man United,Liverpool,2.0,1.0,H,1.0,1.0,D,H Webb,10.0,4.0,5.0,2.0,10.0,15.0,1.0,2.0,2.0,3.0,0.0,0.0
E0,2010-04-03,Man United,Chelsea,1.0,2.0,A,0.0,1.0,A,M Dean,9.0,11.0,3.0,5.0,14.0,11.0,3.0,3.0,3.0,1.0,0.0,0.0
E0,2010-04-24,Man United,Tottenham,3.0,1.0,H,0.0,0.0,D,A Marriner,15.0,9.0,8.0,3.0,13.0,10.0,4.0,4.0,1.0,0.0,0.0,0.0
E0,2010-05-09,Man United,Stoke,4.0,0.0,H,2.0,0.0,H,M Clattenburg,18.0,4.0,13.0,4.0,10.0,4.0,10.0,2.0,2.0,0.0,0.0,0.0
E0,2009-08-19,Burnley,Man United,1.0,0.0,H,1.0,0.0,H,A Wiley,8.0,18.0,2.0,9.0,8.0,12.0,1.0,12.0,2.0,1.0,0.0,0.0
E0,2009-08-22,Wigan,Man United,0.0,5.0,A,0.0,0.0,D,H Webb,16.0,16.0,7.0,13.0,11.0,8.0,3.0,5.0,2.0,2.0,0.0,0.0
E0,2009-09-12,Tottenham,Man United,1.0,3.0,A,1.0,2.0,A,A Marriner,11.0,17.0,7.0,13.0,16.0,13.0,3.0,9.0,3.0,2.0,0.0,1.0
E0,2009-09-26,Stoke,Man United,0.0,2.0,A,0.0,0.0,D,H Webb,2.0,13.0,1.0,7.0,9.0,8.0,2.0,7.0,1.0,1.0,0.0,0.0
E0,2009-10-25,Liverpool,Man United,2.0,0.0,H,0.0,0.0,D,A Marriner,11.0,7.0,6.0,5.0,20.0,11.0,5.0,1.0,2.0,3.0,1.0,1.0
E0,2009-11-08,Chelsea,Man United,1.0,0.0,H,0.0,0.0,D,Mn Atkinson,12.0,21.0,9.0,10.0,13.0,15.0,0.0,7.0,3.0,3.0,0.0,0.0
E0,2009-11-28,Portsmouth,Man United,1.0,4.0,A,1.0,1.0,D,M Dean,20.0,12.0,12.0,8.0,16.0,10.0,4.0,8.0,4.0,3.0,0.0,0.0
E0,2009-12-05,West Ham,Man United,0.0,4.0,A,0.0,1.0,A,P Walton,11.0,18.0,7.0,11.0,8.0,16.0,2.0,8.0,0.0,1.0,0.0,0.0
E0,2009-12-19,Fulham,Man United,3.0,0.0,H,1.0,0.0,H,H Webb,10.0,16.0,7.0,4.0,10.0,9.0,5.0,2.0,0.0,1.0,0.0,0.0
E0,2009-12-27,Hull,Man United,1.0,3.0,A,0.0,1.0,A,A Wiley,12.0,19.0,6.0,11.0,13.0,17.0,5.0,6.0,0.0,2.0,0.0,0.0
E0,2010-01-09,Birmingham,Man United,1.0,1.0,D,1.0,0.0,H,M Clattenburg,6.0,14.0,5.0,10.0,10.0,13.0,2.0,12.0,2.0,1.0,0.0,1.0
E0,2010-01-31,Arsenal,Man United,1.0,3.0,A,0.0,2.0,A,C Foy,18.0,11.0,7.0,5.0,9.0,12.0,8.0,5.0,1.0,0.0,0.0,0.0
E0,2010-02-10,Aston Villa,Man United,1.0,1.0,D,1.0,1.0,D,P Walton,10.0,12.0,6.0,6.0,9.0,10.0,1.0,7.0,0.0,1.0,0.0,1.0
E0,2010-02-20,Everton,Man United,3.0,1.0,H,1.0,1.0,D,H Webb,11.0,11.0,7.0,5.0,12.0,10.0,4.0,12.0,5.0,1.0,0.0,0.0
E0,2010-03-06,Wolves,Man United,0.0,1.0,A,0.0,0.0,D,P Walton,12.0,15.0,6.0,6.0,9.0,8.0,2.0,4.0,2.0,1.0,0.0,0.0
E0,2010-03-27,Bolton,Man United,0.0,4.0,A,0.0,1.0,A,M Atkinson,14.0,13.0,10.0,8.0,14.0,15.0,11.0,6.0,0.0,0.0,0.0,0.0
E0,2010-04-11,Blackburn,Man United,0.0,0.0,D,0.0,0.0,D,P Walton,8.0,13.0,7.0,6.0,14.0,12.0,1.0,7.0,1.0,2.0,0.0,0.0
E0,2010-04-17,Man City,Man United,0.0,1.0,A,0.0,0.0,D,M Atkinson,8.0,13.0,5.0,3.0,8.0,12.0,7.0,5.0,2.0,1.0,0.0,0.0
E0,2010-05-02,Sunderland,Man United,0.0,1.0,A,0.0,1.0,A,S Bennett,10.0,14.0,2.0,9.0,10.0,9.0,9.0,4.0,3.0,2.0,0.0,0.0
E0,16/08/10,Man United,Newcastle,3.0,0.0,H,2.0,0.0,H,C Foy,18.0,7.0,10.0,3.0,9.0,5.0,5.0,3.0,2.0,2.0,0.0,0.0
E0,28/08/10,Man United,West Ham,3.0,0.0,H,1.0,0.0,H,M Clattenburg,18.0,7.0,11.0,2.0,6.0,11.0,9.0,3.0,1.0,2.0,0.0,0.0
